代码,名称,"最新收盘价(元,CNY)","总市值(亿元,CNY)","流通市值(亿元,CNY)",交易状态,最新收盘价日期,上市日期,省份,证监会行业,Wind行业,证券类型,上市板,上市交易所
000001.SZ,平安银行,13.54,"2,324.8737","2,324.85141",正常交易,2019-04-11,1991-04-03,广东省,CSRC货币金融服务,Wind银行,A股,主板,深圳证券交易所
000002.SZ,万科A,31.84,"3,545.9326","3,093.31014",正常交易,2019-04-11,1991-01-29,广东省,CSRC房地产业,Wind房地产Ⅱ,A股,主板,深圳证券交易所
000004.SZ,国农科技,24.91,20.9186,20.67858,正常交易,2019-04-11,1991-01-14,广东省,CSRC医药制造业,Wind制药、生物科技与生命科学,A股,主板,深圳证券交易所
000005.SZ,世纪星源,3.83,40.5420,40.51934,正常交易,2019-04-11,1990-12-10,广东省,CSRC生态保护和环境治理业,Wind商业和专业服务,A股,主板,深圳证券交易所
000006.SZ,深振业A,6.87,92.7447,92.59291,正常交易,2019-04-11,1992-04-27,广东省,CSRC房地产业,Wind房地产Ⅱ,A股,主板,深圳证券交易所
000007.SZ,全新好,7.38,25.5679,22.80037,正常交易,2019-04-11,1992-04-13,广东省,CSRC房地产业,Wind房地产Ⅱ,A股,主板,深圳证券交易所
000008.SZ,神州高铁,4.84,134.5905,125.79761,正常交易,2019-04-11,1992-05-07,北京,CSRC铁路、船舶、航空航天和其他运输设备制造业,Wind资本货物,A股,主板,深圳证券交易所
000009.SZ,中国宝安,6.59,141.6418,139.69410,正常交易,2019-04-11,1991-06-25,广东省,CSRC综合,Wind资本货物,A股,主板,深圳证券交易所
000010.SZ,美丽生态,3.76,30.8265,19.63364,正常交易,2019-04-11,1995-10-27,广东省,CSRC土木工程建筑业,Wind资本货物,A股,主板,深圳证券交易所
000011.SZ,深物业A,11.92,66.4656,20.96283,正常交易,2019-04-11,1992-03-30,广东省,CSRC房地产业,Wind房地产Ⅱ,A股,主板,深圳证券交易所
000012.SZ,南玻A,5.58,129.4784,99.05071,正常交易,2019-04-11,1992-02-28,广东省,CSRC非金属矿物制品业,Wind材料Ⅱ,A股,主板,深圳证券交易所
